created_date,pick_city_name,bad_weather_order,A1,total_submitted,total_delivered,cancelled_quit,cnd,incharge_period,completion_time,peak3,stack,30 days from created_date,A30,%peak3,%stack,%cnd,%g2n,%bw,cancel_by_mex_users
2022-06-05,Can Tho City,0,449,7102,6663,439,23,0.2532768113823515,18.917223971609936,0,92,2022-05-06,1112.0,0.0,0.012954097437341595,0.0032385243593353987,0.9381864263587721,0.0,416
2022-06-05,Dong Nai,0,575,10334,8760,1574,566,2.045769175160847,27.71079649042844,854,3662,2022-05-06,1401.0,0.0826398296884072,0.3543642345655119,0.0547706599574221,0.84768724598413,0.0,1008
2022-06-05,Hai Phong City,0,359,6879,5108,1771,944,4.475413260672116,33.185108943089425,4986,1836,2022-05-06,1013.0,0.7248146532926297,0.26689925861317054,0.13722924843727285,0.7425497892135485,0.0,827
2022-06-05,Hue City,0,380,7645,6807,838,147,0.4765431241902646,19.56478573525095,883,461,2022-05-06,887.0,0.11550032701111838,0.060300850228907785,0.01922825376062786,0.8903858731196861,0.0,691
2022-06-05,Vung Tau,0,165,4302,3536,766,388,1.3196445980678897,22.126490190556652,1911,292,2022-05-06,331.0,0.44421199442119946,0.06787540678754068,0.0901906090190609,0.8219432821943282,0.0,378
2022-06-06,Bac Ninh,901,125,2477,2181,296,90,1.1604276895943562,23.844574175824178,570,417,2022-05-07,0.0,0.23011707710940654,0.1683488090431974,0.036334275333064193,0.8805006055712555,0.3637464675010093,206
2022-06-06,Binh Duong,0,542,7787,6844,943,435,1.3236037708898727,21.897758000194536,381,1904,2022-05-07,1563.0,0.04892770001284191,0.2445100809040709,0.055862334660331324,0.8789007319892128,0.0,508
2022-06-06,Can Tho City,0,588,8471,7997,474,29,0.33319454649359126,19.93562393375775,0,996,2022-05-07,1119.0,0.0,0.11757761775469248,0.0034234446936607247,0.9440443867312006,0.0,445
2022-06-06,Dong Nai,0,637,10579,9189,1390,514,1.325327275259383,24.54909963768116,210,3406,2022-05-07,1402.0,0.019850647509216373,0.32195859722090936,0.048586822951129593,0.8686076188675679,0.0,876
2022-06-06,Hai Phong City,2520,438,6686,5476,1210,503,3.228261496739946,31.071118389131488,2919,2181,2022-05-07,1019.0,0.4365839066706551,0.32620400837571045,0.07523182769967095,0.8190248279988035,0.3769069697876159,707
2022-06-06,Hue City,0,454,8630,7810,820,132,0.7169616881786519,20.051539970992238,618,2190,2022-05-07,894.0,0.07161066048667439,0.253765932792584,0.0152954808806489,0.9049826187717266,0.0,688
2022-06-06,Khanh Hoa,0,208,4037,3689,348,29,0.6241501907734999,21.571323595708233,0,1655,2022-05-07,0.0,0.0,0.4099578895219222,0.007183552142680208,0.9137973742878375,0.0,319
